County,FIPS,Average_An,Status,POP_2016
"Bailey County(6,10)",48017,25,stable,7181
"Reeves County(6,10)",48389,45,stable,14921
"Pecos County(6,10)",48371,52,stable,15970
"Sutton County(6,10)",48435,16,stable,3869
"Willacy County(6,10)",48489,69,stable,21810
"Duval County(6,10)",48131,45,stable,11428
"Dickens County(6,10)",48125,11,stable,2184
"Sherman County(6,10)",48421,11,stable,3068
"Concho County(6,10)",48095,15,stable,4279
"Zavala County(6,10)",48507,36,stable,12023
"Crockett County(6,10)",48105,13,stable,3675
"Gaines County(6,10)",48165,44,stable,20478
"Dimmit County(6,10)",48127,35,stable,10794
"Jeff Davis County(6,10)",48243,13,stable,2200
"Archer County(6,10)",48009,33,stable,8703
"Mason County(6,10)",48319,21,falling,4111
"San Saba County(6,10)",48411,24,stable,5944
"Motley County(6,10)",48345,7,stable,1160
"Lipscomb County(6,10)",48295,11,stable,3487
"La Salle County(6,10)",48283,20,stable,7613
"Martin County(6,10)",48317,14,stable,5723
"Sterling County(6,10)",48431,4,stable,1367
"Carson County(6,10)",48065,22,stable,6057
"Edwards County(6,10)",48137,8,stable,1911
"Menard County(6,10)",48327,11,stable,2123
"Lynn County(6,10)",48305,19,stable,5711
"Cottle County(6,10)",48101,7,stable,1402
"McMullen County(6,10)",48311,3,*,804
"Kinney County(6,10)",48271,15,stable,3590
"Hartley County(6,10)",48205,16,stable,5747
"Hudspeth County(6,10)",48229,9,stable,4053
"Culberson County(6,10)",48109,5,stable,2198
"Presidio County(6,10)",48377,17,stable,6958
"Borden County(6,10)",48033,0,*,633
"Glasscock County(6,10)",48173,0,*,1314
"Kenedy County(6,10)",48261,0,*,404
"King County(6,10)",48269,0,*,289
"Loving County(6,10)",48301,0,*,113
"Roberts County(6,10)",48393,0,*,916
